,AC135068.3,AC135068.9,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV2-26,IGHV2-5,IGHV2-70,IGHV2-70D,IGHV2OR16-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-20,IGHV3-21,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-43,IGHV3-48,IGHV3-49,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-7,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3OR15-7,IGHV3OR16-10,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-8,IGHV3OR16-9,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81,IGHV8-51-1,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV1OR2-108,IGKV2-24,IGKV2-28,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV3OR2-268,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-27,IGLV3-32,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,TRAC,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ61,TRAJ7,TRAJ9,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-6,TRAV8-7,TRAV9-1,TRAV9-2,TRBC1,TRBC2,TRBD1,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-2P,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV17,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV20OR9-2,TRBV23-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-9,TRBV9,TRDC,TRDD1,TRDD2,TRDD3,TRDJ1,TRDJ2,TRDJ3,TRDJ4,TRDV1,TRDV2,TRDV3,TRGC1,TRGC2,TRGJ1,TRGJ2,TRGJP,TRGJP1,TRGJP2,TRGV1,TRGV10,TRGV11,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9
22BR005,3,0,935,159,43,296,8,163,63,14,0,48,0,0,0,9,110,123,10,0,97,70,316,0,32,610,865,657,297,0,0,58,79,88,53,1,231,8,169,5,127,49,0,0,1,1,1,1,10,24,84,593,216,77,92,0,36,115,375,0,0,0,34,87,97,84,2,2,28,1698,193,5,66,4,553,56,19,3,2,35,1,4,7,0,203,31,92,0,5,0,73,7,7,35,1337,466,790,2,24,13,70,0,1,1036,0,35,5,0,8,162,173,86,1,2,3,0,111,375,18,129,0,560,261,119,1,4,837,160,0,92,69,0,36,0,0,29,9,19,1,3,70,102,12,60,15,757,2,0,0,2,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,4,0,0,1,5,7,1,10,12,8,27,3,9,4,12,10,17,7,3,6,5,11,4,5,8,6,2,8,10,1,0,3,0,6,5,17,3,6,2,3,0,5,4,8,6,16,0,0,13,284,512,10,2,2,11,9,9,14,2,0,0,0,0,0,0,4,1,3,8,1,1,9,11,2,6,5,5,0,0,13,21,14,35,1,2,1,0,8,7,14,16,21,10,12,34,0,25,5,6,0,15,5,0,7,5,0,2,1,22,6,1,1,1,11,7,19,0,0,0,1,0,0,1,4,5,1,18,19,1,0,0,0,0,2,11,0,11,12,11,6,3,4
05BR001,1,0,1179,610,2208,3031,2,885,65,385,22,563,0,4,8,3331,1707,1652,744,2,2019,53,769,0,24,3901,4025,1329,3313,2,0,2950,809,293,216,15,96,152,1857,44,990,606,4,0,0,10,1,2,7,85,346,3238,133,1930,900,1,349,2359,481,2,0,0,893,157,507,229,117,11,103,10387,104,15,137,200,117,86,12,62,8,113,1,4,29,5,1388,72,133,1,18,1,82,56,150,37,10007,1037,3600,4,71,114,188,0,14,10697,8,3574,27,0,14,4061,227,3848,8,12,962,1,3921,6758,45,4459,1,205,7725,1365,4,6,16141,11372,5,5963,31,0,475,1,74,1260,60,23,13,0,646,103,223,75,55,1761,2,4,4,1,4,5,0,5,3,1,2,6,2,4,3,1,0,0,4,1,2,5,2,4,1,3,2,1,3,0,2,7,4,1,2,1,2,3,3,1,0,1,1,7,0,2,1,0,0,0,0,0,8,0,5,1,6,8,17,24,54,34,45,20,22,20,26,6,43,15,13,27,4,8,12,9,21,20,8,30,13,7,2,6,8,24,10,37,1,11,11,4,0,6,19,26,26,31,0,1,41,958,1280,20,6,13,17,16,21,21,9,2,7,4,1,0,1,5,6,10,27,4,0,17,23,8,13,9,6,1,0,27,57,34,71,0,11,10,1,48,18,41,37,20,16,46,56,2,24,6,18,0,15,19,2,38,13,2,0,0,75,23,4,13,1,52,30,74,0,0,0,4,3,1,2,18,3,1,312,93,1,0,3,0,4,7,19,1,9,16,17,5,7,24
18BR002,0,0,69,29,28,84,17,48,2,60,3,57,0,0,0,23,87,57,24,0,54,10,82,0,4,101,260,237,96,2,0,11,94,36,16,3,17,7,113,17,25,48,0,0,0,1,0,0,6,37,57,173,60,106,14,1,13,79,12,0,0,0,56,41,33,30,4,0,13,349,58,12,139,5,1,8,0,0,0,23,0,2,1,6,64,4,49,0,4,0,11,16,2,4,378,221,616,0,21,7,36,0,1,464,8,8,9,0,4,171,162,141,0,1,23,0,119,484,11,318,2,74,140,116,1,0,196,147,0,170,33,0,89,0,0,112,2,13,5,0,60,30,66,75,18,759,2,0,2,0,1,1,1,2,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,3,3,5,7,44,8,16,12,13,6,8,2,10,4,2,22,2,5,5,7,12,4,3,10,3,3,3,4,9,8,1,7,0,2,3,2,0,4,16,17,10,10,0,0,7,319,756,6,1,0,5,6,8,10,3,0,0,1,2,0,1,4,2,7,14,0,3,12,8,3,1,2,3,0,0,9,26,16,28,0,5,2,3,17,23,19,16,1,0,12,22,0,8,4,7,0,5,17,0,9,5,0,0,0,23,20,3,5,3,19,10,19,0,0,0,0,0,0,0,7,5,0,18,51,0,0,0,0,0,3,17,0,9,10,11,7,4,2
11BR018,3,0,1690,506,1353,1768,34,1227,223,380,254,1237,0,3,0,287,524,454,284,0,860,194,2516,0,5,1584,2952,989,1446,4,3,213,1695,862,694,49,899,125,2811,452,320,1988,5,0,2,123,8,1,41,21,530,1363,1153,1268,377,4,1118,2287,521,12,1,0,1423,815,512,1335,42,1,164,6683,524,234,1059,58,145,102,107,58,0,110,4,3,25,13,1267,28,804,0,73,1,20,483,37,60,3437,1804,7785,16,103,52,282,4,13,4499,19,328,130,0,221,3404,1922,1611,8,11,196,0,1674,8831,116,2744,2,1818,2160,1569,30,26,1475,4255,2,1475,431,0,355,31,167,769,50,307,8,2,927,838,414,860,23,1281,1,2,0,3,1,0,2,1,2,1,1,1,0,2,0,0,1,0,1,1,0,3,0,3,1,1,1,0,1,2,1,1,2,1,0,0,1,2,2,0,0,1,0,1,0,0,0,1,1,0,0,0,5,0,3,1,3,8,9,16,31,41,43,11,16,12,13,3,19,8,15,23,7,21,4,20,11,8,13,18,18,6,1,7,3,15,5,21,0,12,7,4,0,8,32,35,20,16,1,0,19,756,1487,14,3,6,14,11,10,26,1,2,4,10,2,2,2,4,0,4,14,1,6,16,15,2,13,16,10,0,0,18,49,24,58,0,3,4,5,28,8,47,23,17,2,56,39,0,23,5,25,0,12,30,5,30,11,2,0,1,118,21,5,10,2,42,29,39,0,0,0,3,0,3,1,7,1,0,59,90,0,0,0,0,2,3,24,0,17,29,22,15,5,10
11BR022,4,0,1479,2185,476,729,61,1275,81,286,94,715,0,1,0,219,466,245,244,1,628,107,1289,2,81,1101,2231,745,1165,6,1,70,1023,471,241,11,461,54,1248,335,178,625,9,1,1,37,6,3,26,30,2853,759,253,667,175,1,639,1229,581,734,3,0,710,1037,491,1016,33,1,71,4239,626,141,1161,72,14,150,1,45,0,97,5,7,18,14,541,16,391,0,39,0,12,227,13,31,2871,2110,4867,19,119,74,180,5,18,4481,40,150,52,0,152,2191,1105,1191,10,8,298,1,1940,4890,234,1786,15,947,1950,2658,20,26,1191,2571,1,3036,424,0,321,15,335,1170,10,73,5,3,1083,1059,771,422,378,250,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,4,10,3,2,0,1,12,7,2,2,2,2,1,3,1,3,1,1,5,5,0,0,0,0,5,2,1,0,3,2,3,0,4,2,3,2,3,0,0,2,137,231,3,0,1,0,1,1,1,2,2,0,0,0,0,0,5,1,1,4,1,0,6,5,1,4,2,2,0,0,5,12,10,12,0,0,0,0,7,14,10,4,3,3,7,9,1,4,2,1,0,2,8,0,5,4,0,0,1,17,3,0,2,0,7,7,13,0,0,0,1,0,0,0,4,2,0,10,36,0,0,0,0,0,0,8,0,4,6,6,3,2,1
09BR004,1,0,49,1616,62,5,0,5,206,451,235,88,0,0,0,1,754,0,34,0,5,4,7,2,4,1046,839,517,51,1,1,6,280,8,41,0,1,5,26,0,1,97,0,0,0,6,0,0,2,28,282,223,3,1785,117,0,3,8,9,0,0,0,89,4,830,196,3,0,41,3034,40,4,134,43,1,8,2,1,0,60,1,0,2,8,7,19,20,0,0,0,18,0,0,1,104,363,2475,1,2,4,29,0,0,889,452,398,10,0,0,14,1047,27,0,7,1,0,4,106,2,38,0,9,40,9,0,0,2416,212,0,5,1,0,0,0,1,549,0,2,0,1,277,58,0,14,357,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0,1,1,2,1,2,0,0,0,1,0,0,1,0,8,0,0,2,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,49,70,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,8,1,4,0,2,2,0,1,0,0,1,0,3,1,1,14,0,1,1,0,2,4,5,4,1,2,4,6,0,46,4,3,1,3,2,20,18,10,4,0,8,1,7,6,1,3,5,5,6,0,0,0,0,1,0,0,0,1,1,6,17,0,0,0,0,0,1,2,0,1,2,4,0,0,4
11BR042,1,0,807,495,170,251,1,250,22,563,88,439,0,2,0,67,3062,52,11,1,173,17,229,1,125,1388,953,311,982,2,0,5,1727,125,421,4,80,5,799,50,191,299,5,1,1,8,1,1,34,82,328,8,86,379,837,0,96,228,60,0,0,0,203,156,632,110,309,0,532,1600,194,11,838,8,9,27,1,279,0,606,6,2,52,56,138,16,98,0,6,0,8,36,3,21,1614,729,4784,2,37,21,76,0,12,2358,25,266,11,3,9,211,814,74,1,7,75,0,292,902,23,3868,0,838,1191,75,160,4,963,973,0,385,76,0,92,2,273,622,6,14,1,1,2618,14,27,32,52,352,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,12,5,6,15,7,6,3,12,9,5,3,4,4,1,4,2,2,0,0,3,5,7,1,1,1,3,15,3,8,0,1,3,3,0,0,4,4,7,5,0,0,5,140,334,3,0,2,2,1,2,2,0,0,2,2,1,0,1,2,0,0,3,0,0,2,2,0,0,3,0,0,0,4,14,3,12,0,1,3,4,25,6,7,5,5,2,6,10,0,3,4,1,0,1,5,0,6,2,0,0,0,10,5,1,5,0,7,4,11,0,0,0,0,0,0,0,13,0,2,224,30,1,0,2,0,2,1,1,0,4,4,5,3,5,4
01BR023,0,0,13,12,10,14,0,10,1,5,5,2,0,0,0,2,10,9,0,0,42,3,40,0,0,20,46,22,8,0,0,1,11,6,7,0,4,2,25,4,6,51,0,0,0,3,2,0,0,3,1,7,0,6,4,0,12,34,4,4,4,0,10,5,6,8,5,0,2,76,3,2,19,6,1,4,3,7,0,11,0,1,0,5,11,5,18,0,3,1,10,5,9,0,35,15,60,0,2,5,7,0,0,142,0,3,2,0,0,19,26,32,3,1,6,0,22,43,2,26,0,19,26,15,0,1,41,29,0,85,1,0,5,0,6,17,3,17,5,4,11,10,11,13,5,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,3,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,3,1,0,46,10,0,0,0,0,0,0,0,0,0,3,3,2,1,1
11BR038,2,1,1962,3291,1886,4,22,908,37,257,3,180,1,4,4,255,1780,8,3,0,937,201,1438,0,93,1311,1931,1301,288,3,1,898,1152,571,292,187,4,252,1549,340,136,818,8,1,1,40,6,0,40,37,622,5404,15,1036,331,2,1,752,361,2,3,0,482,563,579,654,78,0,94,5810,440,66,524,40,258,111,97,58,0,119,5,81,27,27,494,58,661,0,71,2,55,2763,24,25,3081,1412,8055,8,67,104,220,0,11,10389,99,137,174,1,209,1636,4013,1338,27,5,27,0,1602,2311,237,1946,5,1002,2607,1413,9,16,1235,1264,0,3088,375,0,496,10,356,166,29,168,5,3,1270,523,823,712,246,1440,3,1,0,3,1,0,1,0,1,2,1,2,0,0,0,1,0,0,0,1,0,2,2,1,0,1,0,0,0,0,1,1,3,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,2,2,0,2,0,6,9,6,25,38,29,44,24,16,13,36,1,20,7,12,21,10,10,3,10,35,13,8,23,11,13,4,11,6,6,4,23,3,10,8,6,0,15,27,27,19,31,1,1,22,562,1458,7,4,6,9,7,11,12,8,5,6,3,0,0,4,14,0,3,22,4,1,12,7,3,6,14,14,0,0,22,33,17,91,0,5,7,2,28,62,47,27,11,20,29,50,0,13,7,14,0,18,13,1,25,7,0,2,1,46,24,5,13,3,48,31,30,0,0,0,0,0,0,0,6,3,0,46,65,0,0,0,1,1,6,8,0,9,25,19,22,4,3
11BR024,4,1,8938,4077,2820,404,61,1473,2,1054,1,1942,1,5,0,24,1083,28,3,0,428,15,531,0,106,573,5366,3419,4077,283,0,52,995,105,486,217,5,74,1699,24,97,1121,5,2,0,34,2,0,29,1636,183,5240,525,1410,195,1,2,5966,459,4355,2,0,807,253,4851,331,26,0,23,9936,278,7,417,44,4,143,4,13,0,23,1,1,0,2,95,99,478,4,2,0,83,45,23,43,8849,1064,5524,9,1780,32,421,0,14,14530,125,61,262,0,22,2089,8573,1445,1,11,73,1,2996,4475,770,1446,2,863,35540,659,1,83,3556,828,3,22661,2828,4,35,4,193,491,123,96,9,0,921,118,118,98,66,1398,3,0,1,0,4,2,2,0,3,2,0,1,3,1,4,0,0,1,0,3,0,2,0,3,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,2,18,44,7,8,23,61,18,17,17,20,49,5,136,14,3,15,3,16,14,10,5,6,1,30,20,9,1,4,6,14,4,52,0,2,3,17,0,9,16,20,10,34,0,0,25,972,1677,15,7,6,13,13,16,17,6,4,7,2,4,1,0,11,0,2,35,1,2,4,9,12,32,7,16,0,0,30,37,30,84,0,4,3,5,90,40,227,42,4,32,19,24,0,41,46,14,0,19,21,6,14,25,0,0,0,84,16,1,8,2,28,47,26,0,0,0,4,1,2,1,7,7,0,262,439,0,0,0,5,26,3,44,0,8,15,11,13,6,58
