Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
A1BG	1	19	19q13.43	50	NP_570602;P04217;M0R009;ENSP00000263100;ENSP00000470909
A2M	2	12	12p13.31	59	XP_006719119;XP_054227366;NP_000005;NP_001334352;NP_001334353;NP_001334354;P01023;F5H1E8;F8W7L3;H0YFH1;ENSP00000323929;ENSP00000438599;ENSP00000445717;ENSP00000385710
A2ML1	144568	12	12p13.31	19	XP_011518868;XP_011518869;XP_016874358;XP_016874359;XP_047284343;XP_054227169;XP_054227170;XP_054227171;XP_054227172;XP_054227173;NP_001269353;NP_653271;A8K2U0;F5GXP1;F5GYG7;H0YGG5;H0YH14;ENSP00000299698;ENSP00000443174;ENSP00000440662;ENSP00000438292;ENSP00000440057;ENSP00000445674
AAAS	8086	12	12q13.13	55	NP_001166937;NP_056480;Q9NRG9;F8VZ44;F8VUB6;H3BU82;ENSP00000457518;ENSP00000377908;ENSP00000209873;ENSP00000446885;ENSP00000448020
AACS	65985	12	12q24.31	33	XP_011536994;XP_047285402;XP_054229012;XP_054229013;NP_001306768;NP_001306769;NP_001401604;NP_001401605;NP_001401606;NP_001401607;NP_076417;Q86V21;E7EW25;ENSP00000416461;ENSP00000324842
AADAT	51166	4	4q33	16	XP_006714294;XP_011530322;XP_024309845;XP_047271719;XP_054206123;XP_054206124;XP_054206125;XP_054206126;NP_001273611;NP_001273612;NP_057312;NP_872603;Q8N5Z0;D6RC56;D6REB9;D6RFY7;ENSP00000336808;ENSP00000423190;ENSP00000423341;ENSP00000226840;ENSP00000425067;ENSP00000421389;ENSP00000423843
AAGAB	79719	15	15q23	38	XP_024305820;XP_024305821;XP_054234758;XP_054234759;NP_001258814;NP_001258815;NP_078942;Q6PD74;H0YL49;ENSP00000261880;ENSP00000453263;ENSP00000440735;ENSP00000453059
AAK1	22848	2	2p13.3	59	NP_001358504;NP_001358506;NP_055726;Q2M2I8;A0A096LNZ0;A0A096LP25;A0A096LP60;E9PG46;ENSP00000485350;ENSP00000386456;ENSP00000386342;ENSP00000485296;ENSP00000385181;ENSP00000485409
AAMDC	28971	11	11q14.1	38	XP_016873109;XP_047282792;XP_047282793;XP_047282794;XP_047282795;XP_054224536;XP_054224537;XP_054224538;XP_054224539;XP_054224540;NP_001303886;NP_001303887;NP_001303889;NP_001303890;NP_001303891;NP_001350493;NP_001378960;NP_001378961;NP_001378962;NP_001378963;NP_001378964;NP_001378965;NP_001378966;NP_001378967;NP_001378997;NP_078960;Q9H7C9;E9PIQ4;E9PJP1;E9PLK9;E9PNP3;E9PR47;H0YF35;K4DI89;ENSP00000433293;ENSP00000435560;ENSP00000431808;ENSP00000377078;ENSP00000433281;ENSP00000307254;ENSP00000433956;ENSP00000436086;ENSP00000432830;ENSP00000437120
AAMP	14	2	2q35	34	NP_001078;NP_001289474;Q13685;C9JEH3;C9JG97;H7C0R2;C9JTS3;ENSP00000248450;ENSP00000403343;ENSP00000416394;ENSP00000396295;ENSP00000393818
